"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Spencer Rattler","NO","22.9","14.9","157.2","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"Sam Howell","DAL","21.9","13.8","144.3","1.0","0.7","1.3","6.9","0.1","0.1","10.1"
"Drew Lock","SEA","20.6","13.0","146.6","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Drew Allar","PIT","23.0","14.9","160.2","0.9","0.5","1.3","5.7","0.1","0.2","9.9"
"Gardner Minshew II","ARI","22.9","14.3","147.8","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"Cade Klubnik","NYJ","20.6","13.0","136.9","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"Cole Payton","PHI","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"Kyle Allen","BUF","21.0","12.4","138.4","1.0","0.6","2.0","3.6","0.0","0.1","9.1"
"Mitchell Trubisky","TEN","23.3","13.5","138.6","0.8","0.4","2.6","4.8","0.0","0.1","9.0"
"Jalen Milroe","SEA","11.0","7.0","90.0","1.0","0.0","5.0","14.0","0.0","0.0","9.0"
"Joe Milton III","DAL","16.3","10.3","119.3","0.7","0.3","3.0","14.3","0.0","0.0","8.5"
"Kyle McCord","MIA","18.2","11.7","123.9","0.8","0.8","1.6","6.8","0.0","0.1","8.0"
"Will Howard","PIT","13.0","8.0","93.0","0.5","0.5","1.0","3.5","0.0","0.0","5.6"
"Mason Rudolph","PIT","10.5","6.5","67.5","0.5","0.0","2.0","8.5","0.0","0.0","5.6"
"Stetson Bennett IV","LAR","9.0","5.5","67.5","0.5","0.0","1.0","5.0","0.0","0.0","5.2"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Cook","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
