"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Devaughn Vele","NO","47.3","567.2","3.7","0.0","0.0","0.0","0.2","102.0"
"Cooper Kupp","SEA","47.4","583.8","3.4","0.5","1.5","0.0","0.7","101.4"
"Jaylin Noel","HOU","45.3","514.5","3.6","5.1","17.6","0.1","0.3","97.2"
"Adonai Mitchell","NYJ","40.0","550.8","3.3","2.1","5.1","0.1","0.7","94.3"
"Jordyn Tyson","NO","38.8","540.1","2.9","1.0","4.0","0.0","0.7","89.5"
"Malik Washington","MIA","45.2","410.5","2.3","13.5","80.9","0.7","0.8","88.5"
"Germie Bernard","PIT","41.2","507.6","2.9","2.1","10.8","0.0","0.7","88.5"
"Chris Bell","MIA","40.6","515.8","2.8","1.0","5.5","0.0","0.7","88.0"
"Antonio Williams","WAS","35.5","496.0","3.1","3.5","18.7","0.1","1.2","86.3"
"Caleb Douglas","MIA","39.2","507.2","2.5","1.0","5.5","0.0","0.7","84.7"
"Omar Cooper Jr.","NYJ","38.4","457.7","3.1","2.1","12.5","0.1","0.7","83.9"
"Travis Hunter","JAC","38.1","451.6","3.1","2.0","10.8","0.1","0.4","83.2"
"Xavier Hutchinson","HOU","38.7","470.4","2.5","2.1","14.2","0.0","0.2","82.8"
"Dontayvion Wicks","PHI","38.7","458.2","3.0","0.5","2.5","0.0","0.2","82.7"
"Tyquan Thornton","KC","25.4","466.5","3.5","0.0","0.0","0.0","0.1","80.0"
"Tory Horton","SEA","30.3","400.5","4.2","0.5","3.0","0.0","0.6","79.2"
"Darius Slayton","NYG","35.1","502.5","1.9","1.6","8.6","0.0","0.7","79.0"
"Troy Franklin","DEN","36.5","402.6","3.4","3.0","10.8","0.0","0.6","79.0"
"Xavier Legette","CAR","35.7","416.9","2.6","2.1","10.9","0.1","0.4","75.8"
"Jahan Dotson","ATL","35.2","443.3","2.3","0.0","0.0","0.0","0.3","74.9"
"Tre' Harris","LAC","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.5"
