"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Brashard Smith","KC","46.1","176.9","1.1","18.7","131.7","1.0","0.1","52.5"
"Jaylen Wright","MIA","82.1","318.2","1.6","7.2","52.6","0.1","1.3","48.3"
"Emanuel Wilson","SEA","70.2","290.0","1.7","7.7","52.1","0.0","0.5","47.4"
"Jonah Coleman","DEN","48.7","203.0","1.6","10.2","74.8","0.4","0.2","44.2"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.7","207.3","1.5","0.1","42.7"
"James Conner","ARI","32.5","113.0","1.0","14.0","106.0","1.0","0.0","40.9"
"Isaiah Davis","NYJ","35.1","174.9","1.2","9.9","78.6","0.2","0.1","38.5"
"George Holani","SEA","38.9","164.2","1.5","8.0","62.2","0.3","0.2","37.1"
"LeQuint Allen Jr.","JAC","32.0","126.0","0.6","15.3","99.2","0.4","0.1","36.2"
"Emmett Johnson","KC","46.0","191.9","1.5","5.7","41.2","0.2","0.1","35.9"
"Adam Randall","BAL","31.0","169.5","1.0","6.5","70.5","0.5","0.5","35.3"
"Roschon Johnson","CHI","34.0","116.0","3.0","3.0","18.0","0.0","0.0","32.9"
"Ray Davis","BUF","32.3","138.3","1.1","7.8","60.0","0.4","0.2","32.1"
"Ollie Gordon II","MIA","47.3","195.1","1.2","3.9","27.9","0.1","0.2","31.8"
"Sean Tucker","TB","39.3","163.6","2.2","1.5","10.2","0.0","0.1","31.4"
"Seth McGowan","IND","32.7","139.6","1.5","5.3","42.2","0.2","0.1","30.8"
"Corey Kiner","NE","34.0","150.0","1.0","2.0","20.0","0.0","0.0","24.0"
"Jeremy McNichols","WAS","17.0","88.0","1.0","7.0","53.0","0.0","0.0","23.6"
"Salvon Ahmed","CHI","35.0","153.0","1.0","1.0","12.0","0.0","0.0","23.0"
"Kendre Miller","NO","29.4","119.9","1.3","2.5","16.3","0.0","0.0","22.6"
"Israel Abanikanda","DAL","32.0","146.0","1.0","1.0","14.0","0.0","0.0","22.5"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","22.1"
"Jacob Saylors","DET","23.2","100.7","1.0","4.2","30.1","0.2","0.1","22.0"
"Will Shipley","PHI","9.2","39.5","0.3","11.3","83.4","0.4","0.1","21.9"
"Hunter Luepke","DAL","13.4","56.4","0.4","8.6","61.5","0.4","0.1","20.7"
"Kaytron Allen","WAS","23.6","110.8","0.7","3.0","25.7","0.1","0.0","20.0"
"Demond Claiborne","MIN","21.6","96.2","0.7","3.3","25.2","0.1","0.0","18.5"
"Tahj Brooks","CIN","30.3","128.1","0.9","0.0","0.0","0.0","0.1","18.2"
"Nicholas Singleton","TEN","20.3","83.6","0.6","4.3","30.1","0.2","0.1","17.6"
"Jerome Ford","WAS","17.5","97.0","0.5","4.0","23.0","0.0","0.0","17.0"
"Rasheen Ali","BAL","14.6","62.0","0.4","3.5","28.4","0.2","0.1","14.2"
"Michael Burton","CLE","6.6","13.8","0.6","5.1","33.3","0.6","0.0","14.0"
"DJ Giddens","IND","12.5","52.8","0.4","4.2","28.9","0.2","0.1","13.4"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.8","1.1","0.0","12.5"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.7","0.2","0.1","12.4"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"Connor Heyward","LV","4.2","17.4","0.1","4.0","29.0","0.2","0.0","8.2"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.5","0.2","0.0","7.4"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.2","0.2","0.0","6.0"
"Reggie Gilliam","NE","0.0","0.0","0.0","4.1","29.9","0.2","0.0","5.9"
"Patrick Ricard","NYG","0.0","0.0","0.0","3.9","26.8","0.1","0.0","5.4"
"Kaleb Johnson","GB","5.3","22.7","0.2","0.9","6.7","0.0","0.0","4.8"
"British Brooks","HOU","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Devin Singletary","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Neal","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Badie","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Etienne","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sione Vaki","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaac Guerendo","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
