"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"103",6,"Dallas Turner",MIN,"DE17","6","-","-"
"104",6,"DeForest Buckner",IND,"DT2","13","-","-"
"105",6,"Pete Werner",NO,"LB55","8","-","-"
"106",6,"Kamari Lassiter",HOU,"CB4","8","-","-"
"107",6,"George Karlaftis III",KC,"DE18","5","-","-"
"108",6,"Anthony Hill Jr.",TEN,"LB56","9","-","-"
"109",6,"Christian Elliss",NE,"LB57","11","-","-"
"110",6,"Chase Young",NO,"DE19","8","-","-"
"111",6,"Dre Greenlaw",SF,"LB58","8","-","-"
"112",6,"Brandon Jones",DEN,"S29","10","-","-"
"113",6,"Leonard Williams",SEA,"DT3","11","-","-"
"114",6,"Greg Rousseau",BUF,"DE20","7","-","-"
"115",6,"Abdul Carter",NYG,"DE21","8","-","-"
"116",6,"Josiah Trotter",TB,"LB59","10","-","-"
"117",7,"Trevin Wallace",FA,"LB60","-","-","-"
"118",7,"Cody Barton",TEN,"LB61","9","-","-"
"119",7,"Malik Mustapha",SF,"S30","8","-","-"
"120",7,"Tyler Nubin",NYG,"S31","8","-","-"
"121",7,"Alontae Taylor",TEN,"CB5","9","-","-"
"122",7,"Jacob Rodriguez",MIA,"LB62","6","-","-"
"123",7,"Cole Bishop",BUF,"S32","7","-","-"
"124",7,"Cam Bynum",IND,"S33","13","-","-"
"125",7,"Cameron Heyward",PIT,"DT4","9","-","-"
"126",7,"Dee Alford",BUF,"CB6","7","-","-"
"127",7,"Derrick Brown",CAR,"DT5","5","-","-"
"128",7,"Jonathan Greenard",PHI,"DE22","10","-","-"
"129",7,"Dru Phillips",NYG,"CB7","8","-","-"
"130",7,"Upton Stout",SF,"CB8","8","-","-"
"131",7,"Yaya Diaby",TB,"DE23","10","-","-"
"132",7,"SirVocea Dennis",TB,"LB63","10","-","-"
"133",7,"Malcolm Rodriguez",DET,"LB64","6","-","-"
"134",7,"Andrew Wingard",ARI,"S34","14","-","-"
"135",7,"Shemar James",DAL,"LB65","14","-","-"
"136",7,"Austin Booker",CHI,"LB66","10","-","-"
"137",7,"Jalen Thompson",DAL,"S35","14","-","-"
"138",7,"Grant Delpit",CLE,"S36","11","-","-"
"139",7,"Ja'Quan McMillian",DEN,"CB9","10","-","-"
"140",7,"Tatum Bethune",SF,"LB67","8","-","-"
"141",7,"Teddye Buchanan",BAL,"LB68","13","-","-"
"142",7,"Derrick Barnes",DET,"LB69","6","-","-"
"143",7,"Christian Harris",ATL,"LB70","11","-","-"
"144",7,"Travon Walker",JAC,"DE24","7","-","-"
"145",8,"Micah Parsons",GB,"LB71","11","-","-"
"146",8,"Harold Landry III",NE,"LB72","11","-","-"
"147",8,"Bradley Chubb",BUF,"LB73","7","-","-"
"148",8,"Josh Sweat",ARI,"DE25","14","-","-"
"149",8,"David Bailey",NYJ,"DE26","13","-","-"
"150",8,"DeMarcus Lawrence",SEA,"DE27","11","-","-"
"151",8,"Rueben Bain Jr.",TB,"DE28","10","-","-"
"152",8,"Zach Allen",DEN,"DE29","10","-","-"
"153",8,"Zach Sieler",MIA,"DT6","6","-","-"
"154",8,"Carl Granderson",NO,"DE30","8","-","-"
"155",8,"Leo Chenal",WAS,"LB74","7","-","-"
"156",8,"Odafe Oweh",WAS,"DE31","7","-","-"
"157",8,"Dexter Lawrence II",CIN,"DT7","6","-","-"
"158",8,"Boye Mafe",CIN,"DE32","6","-","-"
"159",8,"Kaleb Elarms-Orr",BUF,"LB75","7","-","-"
"160",8,"Walter Nolen III",ARI,"DT8","14","-","-"
"161",8,"Chop Robinson",MIA,"DE33","6","-","-"
"162",8,"James Pearce Jr.",ATL,"DE34","11","-","-"
"163",8,"Nick Herbig",PIT,"LB76","9","-","-"
"164",8,"Byron Murphy II",SEA,"DT9","11","-","-"
"165",9,"Bryce Boettcher",IND,"LB77","13","-","-"
"166",9,"Khalil Mack",LAC,"LB78","7","-","-"
"167",9,"Jalen Redmond",MIN,"DE35","6","-","-"
"168",9,"Devin White",DET,"LB79","6","-","-"
"169",9,"Rashan Gary",DAL,"LB80","14","-","-"
"170",9,"Christian Rozeboom",TB,"LB81","10","-","-"
"171",9,"Donovan Ezeiruaku",DAL,"DE36","14","-","-"
"172",9,"Jake Golday",MIN,"LB82","6","-","-"
"173",9,"Nnamdi Madubuike",BAL,"DT10","13","-","-"
"174",9,"Myles Murphy",CIN,"DE37","6","-","-"
